"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         257,       -5.85521694,      -2.176607439,      -4.794107335,     -0.4039121002,      -7.015462208
          0,           0,         258,      -5.856280491,      -2.177573417,       -4.79257113,     -0.4048899245,      -7.011942804
          0,           0,         259,      -5.857350083,      -2.178540774,      -4.790903706,     -0.4058721976,      -7.008846406
          0,           0,         260,      -5.858425915,      -2.179509444,        -4.7891553,     -0.4068590161,      -7.005925172
          0,           0,         261,      -5.859507597,      -2.180479356,      -4.787361538,     -0.4078500308,      -7.003087815
          0,           0,         262,      -5.860595014,      -2.181450464,       -4.78554213,     -0.4088450789,      -7.000309244
          0,           0,         263,      -5.861688219,      -2.182422728,      -4.783715095,     -0.4098441662,      -6.997579746
          0,           0,         264,      -5.862787151,      -2.183396108,      -4.781896857,     -0.4108472943,      -6.994895129
          0,           0,         265,      -5.863891587,      -2.184370538,      -4.780108188,     -0.4118544205,      -6.992251915
          0,           0,         266,      -5.865001153,      -2.185345909,      -4.778373954,     -0.4128654406,      -6.989638111
          0,           0,         267,      -5.866115339,      -2.186322056,      -4.776719007,     -0.4138801436,      -6.986405304
          0,           0,         268,      -5.867233568,      -2.187298755,      -4.775166827,     -0.4148982111,      -6.982408925
          0,           0,         269,      -5.868355291,      -2.188276208,      -4.773734218,     -0.4159185409,      -6.979117124
          0,           0,         270,      -5.869481796,      -2.189254314,      -4.772409628,     -0.4169420211,      -6.976146396
          0,           0,         271,      -5.870613233,      -2.190232962,      -4.771190905,     -0.4179686318,      -6.973306575
          0,           0,         272,      -5.871749389,      -2.191212063,      -4.770057852,     -0.4189980692,      -6.970531684
